ts_datetime,ts_frc,hh_datetime,hh_frc,ts_cond,ts_wattemp
2019-07-27T08:57:00.000+06,0.32,2019-07-27T14:49:00.000+06,0.08,395,28.1
2019-07-27T15:12:00.000+06,0.57999999999999996,2019-07-28T07:22:00.000+06,0.14000000000000001,,27.6
2019-07-27T09:11:00.000+06,0.08,2019-07-27T14:56:00.000+06,0.11,349,27.9
2019-07-27T15:26:00.000+06,0.52,2019-07-28T07:43:00.000+06,0.23,,27.4
2019-07-27T15:44:00.000+06,0.55000000000000004,2019-07-28T07:58:00.000+06,0.28000000000000003,,27.6
2019-07-27T15:53:00.000+06,0.55000000000000004,2019-07-28T08:17:00.000+06,0.39,,27
2019-07-27T16:12:00.000+06,0.54,2019-07-28T08:37:00.000+06,0.34,,27.3
2019-07-28T15:10:00.000+06,1.28,2019-07-29T07:41:00.000+06,0.66,,27.2
2019-07-28T15:34:00.000+06,1.28,2019-07-29T07:53:00.000+06,0.78,,27.2
2019-07-27T14:31:00.000+06,0.52,2019-07-28T06:42:00.000+06,0.2,305,27.7
2019-07-27T14:47:00.000+06,0.52,2019-07-28T06:53:00.000+06,0.32,305,27.5
2019-07-27T15:07:00.000+06,0.52,2019-07-28T07:22:00.000+06,0.15,308,27.6
2019-07-27T15:21:00.000+06,0.52,2019-07-28T07:34:00.000+06,0.11,306,27.7
2019-07-27T15:33:00.000+06,0.78,2019-07-28T07:43:00.000+06,0.5,306,27.4
2019-07-28T15:20:00.000+06,0.78,2019-07-29T07:18:00.000+06,0.54,331,27.5
2019-07-28T15:46:00.000+06,1.2,2019-07-29T08:11:00.000+06,0.55000000000000004,,27.6
2019-07-28T15:41:00.000+06,1.26,2019-07-29T07:36:00.000+06,1.2,304,27.7
2019-07-28T16:04:00.000+06,1.23,2019-07-29T08:23:00.000+06,0.46,,27.3
2019-07-28T15:59:00.000+06,1.44,2019-07-29T07:52:00.000+06,0.8,305,27.7
2019-07-28T16:10:00.000+06,1.0900000000000001,2019-07-29T08:06:00.000+06,0.47,303,27.3
2019-07-28T16:18:00.000+06,1.19,2019-07-29T08:38:00.000+06,0.8,,27.4
2019-07-27T09:37:00.000+06,0.31,2019-07-27T15:25:00.000+06,0.01,350,28.8
2019-07-28T16:22:00.000+06,0.96,2019-07-29T08:21:00.000+06,0.19,305,27.2
2019-07-29T15:10:00.000+06,0.52,2019-07-30T07:18:00.000+06,0.28000000000000003,309,27.8
2019-07-27T09:49:00.000+06,0.31,2019-07-27T15:47:00.000+06,0.08,342,28.6
2019-07-29T15:23:00.000+06,0.6,2019-07-30T07:30:00.000+06,0.26,310,27.6
2019-07-29T15:17:00.000+06,1.99,2019-07-30T07:14:00.000+06,1.38,,28.1
2019-07-29T15:38:00.000+06,0.6,2019-07-30T07:43:00.000+06,0.11,304,27.9
2019-07-29T15:31:00.000+06,1.95,2019-07-30T07:25:00.000+06,1.34,,28.1
2019-07-29T15:53:00.000+06,0.55000000000000004,2019-07-30T07:53:00.000+06,0.01,309,27.7
2019-07-28T09:02:00.000+06,1.06,2019-07-28T14:39:00.000+06,0.79,357,27.2
2019-07-29T15:47:00.000+06,2.04,2019-07-30T07:41:00.000+06,0.54,,27.6
2019-07-29T16:15:00.000+06,0.66,2019-07-30T08:03:00.000+06,0.32,309,27.9
2019-07-28T09:24:00.000+06,1.43,2019-07-28T14:53:00.000+06,0.87,349,27.3
2019-07-29T16:07:00.000+06,1.76,2019-07-30T07:57:00.000+06,1.3,,27.6
2019-07-30T15:44:00.000+06,3.46,2019-07-31T07:56:00.000+06,2.06,319,27.2
2019-07-29T16:18:00.000+06,1.87,2019-07-30T08:29:00.000+06,0.87,,27.4
2019-07-30T15:58:00.000+06,2.69,2019-07-31T08:09:00.000+06,1.9,322,27.6
2019-07-30T15:16:00.000+06,0.54,2019-07-31T08:58:00.000+06,0.53,,27.3
2019-07-30T16:14:00.000+06,2.63,2019-07-31T08:24:00.000+06,2.33,321,27.4
2019-07-30T16:24:00.000+06,2.5099999999999998,2019-07-31T08:35:00.000+06,1.81,319,27.3
2019-07-31T15:25:00.000+06,0.7,2019-08-01T07:35:00.000+06,0.21,311,27.4
2019-07-31T15:33:00.000+06,0.55000000000000004,2019-08-01T07:50:00.000+06,0.1,309,27.4
2019-07-31T15:42:00.000+06,0.6,2019-08-01T08:02:00.000+06,0.15,309,27.8
2019-07-28T09:41:00.000+06,1.3,2019-07-28T15:03:00.000+06,0.6,347,27.4
2019-07-30T16:20:00.000+06,0.86,2019-07-31T08:03:00.000+06,0.7,,27.4
2019-07-28T10:23:00.000+06,1.22,2019-07-28T15:36:00.000+06,0.54,349,27.2
2019-07-31T15:02:00.000+06,0.63,2019-08-01T07:26:00.000+06,0.27,,28.8
2019-07-29T08:29:00.000+06,0.37,2019-07-29T14:29:00.000+06,0.1,349,28.2
2019-07-29T08:49:00.000+06,0.36,2019-07-29T14:36:00.000+06,0.14000000000000001,352,27.9
