deviceid,start,end,today,n1,ts_datetime,network,ts_id,ts_airtemp,ts_frc1,ts_tc1,ts_frc2,ts_tc2,ts_ntu,ts_wattemp,ts_cond,ts_ph,ts_consent,n2,ts_cont,ts_cov,ts_clean,ts_cc,n3,n4,hh_cc,n5,hh_consent,n6,hh_datetime,hh_cont,hh_cont2,hh_clean,hh_same,n7,hh_draw,hh_draw/P,hh_draw/S,hh_draw/T,hh_draw/Oth,hh_cov,hh_sun,n8,hh_airtemp,hh_frc1,hh_tc1,hh_frc2,hh_tc2,hh_ntu,hh_wattemp,hh_cond,hh_ph,n9,_id,_uuid,_submission_time,_validation_status,_index
3.52514E+14,2019-09-07T15:11:58.835+06,2019-09-08T08:21:26.469+06,2019-09-07,,2019-09-07T15:12:00.000+06,net_09,2,27.1,0.62,0.64,,,0.82,27.6,,,1,,MJ,0,1,1,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,348336,4036a0a1-14ee-4958-804c-aa0c0f173ccd,2019-09-11T10:03:17,,1
3.52514E+14,2019-07-27T08:57:17.295+06,2019-07-27T14:55:19.117+06,2019-07-27,,2019-07-27T08:57:00.000+06,net_08,1,26.9,0.32,0.36,,0.36,1.19,28.1,395,8.24,1,,MJ,1,0,1,,,1,,1,,2019-07-27T14:49:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.2,0.08,0.14,,0.32,0.82,29.3,339,8,,338655,374186f3-8c82-41a6-83fd-dac6fc2ea4ad,2019-08-01T10:26:45,,2
3.52514E+14,2019-07-27T15:12:06.253+06,2019-07-28T07:39:07.190+06,2019-07-27,,2019-07-27T15:12:00.000+06,net_03,6,28.1,0.58,0.6,0.34,,0.01,27.6,,,1,,MJ,0,1,1,,,1,,1,,2019-07-28T07:22:00.000+06,1,,,1,,P,1,0,0,0,0,0,,26.1,0.14,0.17,0.18,,0.65,26.6,,,,338657,d64fd3b4-80da-47d7-8cdd-1f07a876da0c,2019-08-01T10:26:50,,3
3.52514E+14,2019-07-27T09:10:56.749+06,2019-07-27T15:08:19.950+06,2019-07-27,,2019-07-27T09:11:00.000+06,net_08,10,28.3,0.08,0.13,,0.22,2.35,27.9,349,8.28,1,,MJ,0,0,2,,,2,,1,,2019-07-27T14:56:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.3,0.11,0.12,,0.14,2.11,29.1,343,8.16,,338658,99b539f7-993c-4d8c-a69b-e29ec905f1f0,2019-08-01T10:26:53,,4
3.52514E+14,2019-07-27T15:26:05.588+06,2019-07-28T07:52:15.817+06,2019-07-27,,2019-07-27T15:26:00.000+06,net_03,7,27.9,0.52,0.54,0.32,,0.01,27.4,,,1,,MJ,0,1,2,,,2,,1,,2019-07-28T07:43:00.000+06,1,,,1,,P,1,0,0,0,0,0,,26.7,0.23,0.27,0.17,,0.1,26.5,,,,338659,1f5f0c12-6151-4975-a1ce-ee3a10131407,2019-08-01T10:26:54,,5
3.52514E+14,2019-07-27T15:44:34.986+06,2019-07-28T08:08:37.854+06,2019-07-27,,2019-07-27T15:44:00.000+06,net_03,8,27.5,0.55,0.67,0.4,,0.01,27.6,,,1,,MJ,0,1,3,,,3,,1,,2019-07-28T07:58:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.4,0.28,0.35,0.26,,0.21,26.7,,,,338660,f4330477-9171-48c8-8eba-3b484730f896,2019-08-01T10:27:01,,6
3.52514E+14,2019-07-27T15:53:31.813+06,2019-07-28T08:36:00.815+06,2019-07-27,,2019-07-27T15:53:00.000+06,net_03,22,26.4,0.55,0.59,0.22,,0.14,27,,,1,,MJ,0,1,4,,,4,,1,,2019-07-28T08:17:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.8,0.39,0.41,0.25,,0.01,26.7,,,,338661,2c616b57-a017-40c2-b558-9a2a63ceddf8,2019-08-01T10:27:06,,7
3.52514E+14,2019-07-27T16:12:29.690+06,2019-07-28T08:40:50.967+06,2019-07-27,,2019-07-27T16:12:00.000+06,net_03,21,27.4,0.54,0.57,0.37,,0.01,27.3,,,1,,MJ,0,1,5,,,5,,1,,2019-07-28T08:37:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.5,0.34,0.39,0.24,,0.01,26.5,,,,338662,e5c59290-956d-4f89-a4ba-db7ab34f0f91,2019-08-01T10:27:10,,8
3.52514E+14,2019-07-28T15:10:41.326+06,2019-07-29T07:45:55.969+06,2019-07-28,,2019-07-28T15:10:00.000+06,net_03,20,28.7,1.28,1.34,0.75,,0.34,27.2,,,1,,MJ,0,1,1,,,1,,1,,2019-07-29T07:41:00.000+06,1,,,1,,P,1,0,0,0,0,0,,26.7,0.66,0.76,0.61,,0.51,26.5,,,,338664,24018a25-6c52-4e5e-ac8b-bf0ae7c5fad0,2019-08-01T10:27:18,,9
3.52514E+14,2019-07-28T15:34:24.856+06,2019-07-29T08:02:41.323+06,2019-07-28,,2019-07-28T15:34:00.000+06,net_03,19,27.7,1.28,0.3,0.66,,0.45,27.2,,,1,,MJ,0,1,2,,,2,,1,,2019-07-29T07:53:00.000+06,1,,,1,,P,1,0,0,0,0,0,,26.7,0.78,0.8,0.68,,0.12,26.6,,,,338665,128cc11b-21f4-4e75-a9df-a91bbf168ee5,2019-08-01T10:27:20,,10
